"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"Commerce/Maryland Tourism Board","PRINCE GEORGES COUNTY CVB","20772","2017","128,041","Maryland Tourism Board Grant","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Prevention and Disease Control","Associated Black Charities","21201","2010","93,427","Minority Outreach","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Education/EARLY CHILDHOOD EDUCATION","WESTED/PUBLICATIONS","94107-1242","2014","1,614,541","GRANTS FOR STATE ASSESSMENTS","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Family Health Services & Primary Care","Maryland Patient Safety Center","21075","2010","213,800","Babies Born Healthy","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Anacostia Watershed Society","20710","2017","174,318","Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","Washington County Museum of Fine Arts","21740","2009","55,913","grant funding for the support of the County Arts Councils","Grant","1","2009 Jun 30 12:00:00 AM"
"Boards and Commissions/Domestic Violence Crisis & Support Services","Domestic Violence Center of Howard County, Inc.","21045","2014","172,082.4","Domestic Violence Prevention","Grant","1","2014 Jun 30 12:00:00 AM"
"MD Small Business Development Financing Authority","Dacore Investment Group","20601","2018","103,978.94","Maryland Small Business Development Financing Authority (MSBDFA) - Equity Participation Investment Program","Loan","1","2018 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission - Aid to Non Public Institutions","Mount St Marys University","21727","2015","1,754,630","Sellinger Formula Aid","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/Maryland State Arts Council","Olney Theatre Center for the Arts","20830","2010","216,007","Grant funding for Arts Organizations, ARRA grant","Grant","1","2010 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Industrial Development Financing Authority - MIDFA-","BRANCH BANKING & TRUST","20814","2012","2,000,000","Maryland Industrial Development Financing Authority - MIDFA, Loan Guarantee","Loan","1","2012 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Maryland State Arts Council","Charles County Arts Alliance Inc","20695 - 0697","2015","96,696","MD State Arts Council Community Arts Development Grant","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","FAIR HILL FARM, INC.","21620-0390","2011","81,010","COVER CROP","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Energy Administration - LMI Community Grants","Habitat for Humanity Choptank FY15","21601","2015","170,000","Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.","Grant","1","2015 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Maryland Coalition Against Sexual Assault, Inc. (MCASA)","20907","2017","50,827","Victim Assistance Discretionary Grant Training Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Life Science Investment Fund","Rise Therapeutics","20850","2018","200,000","Commercialization Investment","Loan","1","2018 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - OAG Counseling","Asian American Homeowners","20852","2015","122,000","OAG Counseling","Grant","1","2015 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","The Tree House Child Advocacy Center of Montgomery County MD Inc.","20855","2018","35,000","Maryland Victims of Crime","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/RENTAL HOUSING PRODUCTION PRG - SPECIAL","Hilton- North Avenue LP","21114","2012","1,156,361","housing loan","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/MD Small Business Development Financing Authority","CATI INC","20743","2011","550,000","MSBDFA Contract Finance Line of Credit of $550,000 max","Loan","1","2011 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","SOUTHERN MD HOSPITAL CENTER","20735","2017","165,184.12","FEMA DR4261 Public Assistance","Grant","1","2017 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Northwest Hospital Center","21133-5103","2011","25,080.36","Domestic Violence Case Manager","Grant","1","2011 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD State Arts Council  -","NATIONAL PHILHARMONIC ORCH & CHORALE/MONT CO INC","20852","2012","88,000","Grants for Art Organization","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Natural Resources/RURAL LEGACY PROGRAM","Patuxent Tidewater Land Trust","20650","2012","4,738.95","John Lancaster Farm Easement","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Human Resources/Family Investment Administration","BENEFITS DATA TRUST","19103","2016","998,436.88","Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Infectious Disease & Environmental Health Services","Maryland Partnership for Prevention","21208","2012","1,314,000","Immunization Program","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Center for Victims and the Law","Maryland Crime Victims' Resource Center, Inc.","20774","2014","223,572.84","Maryland Victims of Crime","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of State Police/Vehicle Theft Prevention Program for Youth in Prince George's County, MD","Take Charge Juvenile Diversion Program, Inc.","20747","2014","90,000","Increase public awareness to students & citizens and reduce juvenile involvement of vehicle theft.","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/PV in Parking Lots Grants Program","Melwood Horticultural Training Center, Inc.","20772-3602","2014","400,000","Grant for solar canopy with charging stations in parking lots","Grant","1","2014 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Cecil Partnerships for Children, Youth and Families","21921","2011","8,597.76","Peer-to-Peer Alcohol Prevention","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Empower MD SMECCO","Southern Maryland Tri-County. Community Action Committee (SMTCCAC Inc.)","20637","2014","732,032","weatherization activities/products","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Planning/Heritage Areas Authority","Mount Vernon Place Conservancy, Inc.","21231","2016","50,000","FY 2014 Maryland Heritage Areas Authority - a comprehensive restoration of the Washington Monument, MHAA funding will support the Monument’s marble stone repointing.","Grant","1","2016 Jun 30 12:00:00 AM"
"State Department of Education/Children at Risk","FOUNDATION FOR BLSYW","21201","2016","72,209","21st Century Community Learning Centers","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","TURNER FARMS INC","21632","2016","64,701","COVER CROP COMMODITY","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene - Prevention & Health Promotion Administration","Black AIDS Institute","90057","2015","101,999","HIV Prevention Services","Grant","1","2015 Jun 30 12:00:00 AM"
"Judiciary/Mediation and Conflict Resolution Office","Anne Arundel Conflict Resolution Center","21401","2009","75,000","Community Mediation Performance Grant Funds","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","LEAGER FARMS","21668-1224","2011","95,936","COVER CROP","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/MD Economic Development Assistance Authority and Fund","OPGEN INC","20876","2010","100,000","MD Economic Development Assistance Authority and Fund (MEDAAF) Investment","Loan","1","2010 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Office of Business Development","Montgomery County Chamber Comm Foundation Inc","20850","2015","93,106.31","ECONOMIC DEVELOPMENT GRANT","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Smithsonian Institute Environmental Research Center","20005","2014","83,703.51","North Branch Muddy Creek Restoration","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Housing & Community Development/Neighborhood Business Development","Jean Marie's LLC/J Marie's Restaurant","20782","2010","135,000","small business development loan","Loan","1","2010 Jun 30 12:00:00 AM"
"Department of Natural Resources/Game Management Program","Farmers and Hunters Feeding the Hungry","21795","2013","248,120","Deer donation program to feed to food shelters","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Low-to-Moderate Income (LMI) Community Grants","B'nai B'rith Homecrest House (Montgomery) FY16","20906","2016","190,000","The low and moderate income sector","Grant","1","2016 Jun 30 12:00:00 AM"
"Freedom Fleet Voucher Program","Roush CleanTech","21701","2018","463,425","Financial assistance for the purchase of new and converted alternative fueled vehicles registered in the state of Maryland","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Energy Administration/MEEHA - Multifamily","North Creek Run","21229-1470","2012","132,500","Building Retrofits","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Technology Development Corporation/Fort Detrick Technology Transfer Initiative (FDTTI)","Biomedica Management Corp.","21227","2009","50,000","Support US Army Medical Technology Transfer","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","C RICHARD WEAVER","210481207","2017","79,853.79","Taxable Grants, Contrib &Subs","Grant","1","2017 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","SHEPPARD PRATT HOSPITAL","21204","2017","150,201.58","Shepperd Pratt Health System Inc","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Baltimore Child Abuse Center, Inc.","21218","2018","5,307.69","Maryland Victims of Crime","Grant","1","2018 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Voices for Children Inc","21044","2009","103,590","Advocacy for children in foster care","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Washington County Community Action Council","21740","2011","20,500","foreclosure/housing counseling activities","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","KIDDIE CASTLE CHILD DEVELOPMENT CENTER INC","21215","2014","103,700.28","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland State Department of Education/DIV OF REHABILITATION SERVICES-HQ","FREEDOM CENTER INC","21702","2011","62,355","Independent Living","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Department of Transportation - Maryland Highway Safety Office","Washington College","21620 - 1197","2015","271,890","Min. Penalty for Rep. Off. For Driv w/Intox","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","CLEARVIEW FARMS, INC.","21643","2012","83,311","COVER CROP","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","Anne Arundel Medical Center","21401","2015","6,215","Byrne - Justice Assistance Grant (JAG) Program Interest","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/MARKETING-TOBACCO TRANSITION","TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND","20637","2016","2,231,031.73","GRANTS TO NON-GOV ENTITIES","Grant","1","2016 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Greater Baltimore Medical Center (GBMC)","21204","2017","27,493","Violence Against Women","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Transportation/FACILITIES AND CAPITAL EQUIPMENT","MILANI CONSTRUCTION LLC","20020-7007","2014","106,340.18","Bikeways Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","ARBAUGH'S FLOWING SPRINGS, INC","217919050","2017","70,874.43","Manure Transport","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Prevention and Disease Control","Allegany County Health Department","21501","2010","107,000","Md Cancer Fund-Treatment","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Planning/MDP- Heritage Areas Authority","Heritage Alliance of Montgomery County, Inc.","20876","2017","97,065","FY 2016 & FY 2017 MHAA Grants - Operating Assistance","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Highway Safety","Chesapeake Region Safety Council","21244-2649","2018","276,391.14","Funds the law enforcement liaisons who coordinate between the Maryland Highway Safety Office (MHSO) and local enforcement agencies.","Grant","1","2018 Jun 30 12:00:00 AM"
"MD Stem Cell Research Fund","Theradaptive Inc.","21704","2018","299,005","Stem Cell Research Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of The Environment/Bay Restoration Fund - Septic Systems","Canaan Valley Institute","26260","2013","931,871","Septic System Upgrade Program","Grant","1","2013 Jun 30 12:00:00 AM"
"OPERATING ASSISTANCE GRANT","HABITAT FOR HUMANITY CHOPTANK INC","21601","2018","25,000","OPERATING ASSISTANCE GRANT","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Human Resources/Office of Grants Management","Optimal Solutions Group","20740","2010","268,848","Funds are used to provide services to develop parenting skills and assistance with child support related issues to enable fathers to better meet the needs of their children","Grant","1","2010 Jun 30 12:00:00 AM"
