Group Code,Group Name,Congregations,Adherents,Adherents as % of Total Adherents,Adherents as % of Population
326,(Original) Church of God,15,,,
001,Advent Christian Church,249,"17,780",0.01%,0.01%
003,African Methodist Episcopal Church,"3,667","1,059,888",0.66%,0.32%
005,African Methodist Episcopal Zion Church,"1,587","304,704",0.19%,0.09%
FHJ,Agape Christian Fellowship,21,"2,616",0.00%,0.00%
009,Albanian Orthodox Diocese of America,2,800,0.00%,0.00%
012,Alliance of Baptists,122,,,
015,Amana Church Society,1,321,0.00%,0.00%
016,Ambassadors Amish-Mennonite,8,923,0.00%,0.00%
FG6,American Anglican Church,12,,,
284,American Association of Lutheran Churches,57,,,
017,American Baptist Association,766,"146,820",0.09%,0.04%
019,American Baptist Churches in the USA,"4,790","1,259,804",0.78%,0.38%
022,American Carpatho-Russian Orthodox Diocese,78,"7,171",0.00%,0.00%
904,American Ethical Union,28,,,
030,American Presbyterian Church,2,,,
416,American Sikh Council,307,,,
031,"Amish Groups, undifferentiated","2,863","320,625",0.20%,0.10%
FFS,Anabaptist Disciples of Christ,15,"2,293",0.00%,0.00%
F01,Anglican Catholic Church,71,,,
FG4,Anglican Church in America,44,,,
033,Anglican Church in North America,873,,,
FG3,Anglican Province of America,56,,,
FG2,Anglican Province of Christ the King,39,,,
034,"Antiochian Orthodox Christian Archdiocese of North America, The",255,"71,216",0.04%,0.02%
FF7,Apostolic Christian Church (Nazarene) - East Conference,22,"1,820",0.00%,0.00%
FF8,Apostolic Christian Church (Nazarene) - West Conference,14,"1,322",0.00%,0.00%
040,Apostolic Christian Church of America,87,"19,557",0.01%,0.01%
FEX,Apostolic Christian Faith,25,"2,453",0.00%,0.00%
042,"Apostolic Faith Mission of Portland, OR",54,,,
045,Apostolic Lutheran Church of America,50,,,
FEY,Appalachian Mennonite Church,2,240,0.00%,0.00%
049,Armenian Apostolic Church of America (Catholicosate of Cilicia),32,"35,565",0.02%,0.01%
050,Armenian Church of North America (Catholicosate of Etchmiadzin),89,"95,207",0.06%,0.03%
051,Armenian Evangelical Churches (Additional),15,,,
053,Assemblies of God,"12,739","3,094,547",1.92%,0.93%
FGJ,Assemblies of the Lord Jesus Christ,33,,,
055,Associate Reformed Presbyterian Church,254,,,
220,Association of Free Lutheran Congregations,254,"35,804",0.02%,0.01%
058,Association of Messianic Congregations,12,,,
047,Association of Reformed Baptist Churches of America,13,,,
056,Baha'i Faith USA,983,"178,727",0.11%,0.05%
059,Baptist Missionary Association of America,"1,144",,,
061,Beachy Amish-Mennonite Churches,86,"10,093",0.01%,0.00%
FFV,Belarusan Autocephalous Orthodox Church,3,,,
FEZ,Believers in Christ,6,808,0.00%,0.00%
062,Berea Amish-Mennonite,11,824,0.00%,0.00%
063,Berean Fellowship of Churches,58,,,
FDT,Bethel Fellowship Mennonite Churches,16,"1,600",0.00%,0.00%
065,"Bethel Ministerial Association, Inc.",15,,,
073,Bible Fellowship Church,68,"14,333",0.01%,0.00%
