StateCode,State Name,Group Code,Group Name,Congregations,Adherents,Adherents as % of Total Adherents,Adherents as % of Population
01,Alabama,326,(Original) Church of God,1,,,
01,Alabama,001,Advent Christian Church,2,0,0.00%,0.00%
01,Alabama,003,African Methodist Episcopal Church,237,"45,834",1.43%,0.91%
01,Alabama,005,African Methodist Episcopal Zion Church,176,"26,808",0.84%,0.53%
01,Alabama,012,Alliance of Baptists,2,,,
01,Alabama,017,American Baptist Association,7,"1,174",0.04%,0.02%
01,Alabama,019,American Baptist Churches in the USA,4,"8,508",0.27%,0.17%
01,Alabama,416,American Sikh Council,4,,,
01,Alabama,033,Anglican Church in North America,16,,,
01,Alabama,FG3,Anglican Province of America,2,,,
01,Alabama,FG2,Anglican Province of Christ the King,3,,,
01,Alabama,034,"Antiochian Orthodox Christian Archdiocese of North America, The",1,35,0.00%,0.00%
01,Alabama,040,Apostolic Christian Church of America,1,42,0.00%,0.00%
01,Alabama,042,"Apostolic Faith Mission of Portland, OR",5,,,
01,Alabama,053,Assemblies of God,342,"47,789",1.50%,0.95%
01,Alabama,055,Associate Reformed Presbyterian Church,6,,,
01,Alabama,220,Association of Free Lutheran Congregations,1,21,0.00%,0.00%
01,Alabama,056,Baha'i Faith USA,6,"1,455",0.05%,0.03%
01,Alabama,059,Baptist Missionary Association of America,14,,,
01,Alabama,061,Beachy Amish-Mennonite Churches,2,131,0.00%,0.00%
01,Alabama,FE8,Bible Methodist Connection,20,,,
01,Alabama,E54,"Bible Way Church of Our Lord Jesus Christ World Wide, Inc.",1,290,0.01%,0.01%
01,Alabama,084,Calvary Chapel Fellowship Churches,5,,,
01,Alabama,081,Catholic Church,162,"249,650",7.81%,4.97%
01,Alabama,FGS,Chabad Judaism,4,,,
01,Alabama,089,Christian and Missionary Alliance,12,"1,071",0.03%,0.02%
01,Alabama,353,Christian Brethren (Open Plymouth Brethren),5,,,
01,Alabama,093,Christian Church (Disciples of Christ),49,"3,875",0.12%,0.08%
01,Alabama,097,Christian Churches and Churches of Christ,25,"2,749",0.09%,0.05%
01,Alabama,101,Christian Methodist Episcopal Church,176,"24,647",0.77%,0.49%
01,Alabama,D83,Christ's Sanctified Holy Church,1,,,
01,Alabama,110,"Church of Christ (Holiness), U.S.A.",4,,,
01,Alabama,143,"Church of Christ, Mennonite",5,717,0.02%,0.01%
01,Alabama,111,"Church of Christ, Scientist",1,,,
01,Alabama,F53,Church of God,15,,,
01,Alabama,123,"Church of God (Anderson, Indiana)",61,"8,046",0.25%,0.16%
01,Alabama,127,"Church of God (Cleveland, Tennessee)",352,"61,231",1.92%,1.22%
01,Alabama,133,Church of God (Seventh Day),1,,,
01,Alabama,122,"Church of God by Faith, Inc.",11,,,
01,Alabama,141,Church of God in Christ,94,"25,140",0.79%,0.50%
01,Alabama,145,Church of God of Prophecy,69,,,
01,Alabama,151,Church of Jesus Christ of Latter-day Saints,77,"37,765",1.18%,0.75%
01,Alabama,155,"Church of Our Lord Jesus Christ of the Apostolic Faith, Inc.",35,"4,590",0.14%,0.09%
01,Alabama,157,Church of the Brethren,1,71,0.00%,0.00%
01,Alabama,A47,Church of the Living God (Christian Workers for Fellowship),4,,,
01,Alabama,D59,Church of the Living God: Pillar and Ground of the Truth,1,,,
01,Alabama,165,Church of the Nazarene,110,"14,336",0.45%,0.29%
01,Alabama,167,Churches of Christ,839,"105,147",3.29%,2.09%
01,Alabama,172,Communion of Reformed Evangelical Churches,3,,,
01,Alabama,173,Community of Christ,15,,,
01,Alabama,177,Congregational Holiness Church,32,,,
01,Alabama,180,Congregational Methodist Church,22,,,
01,Alabama,270,Conservative Judaism,3,"1,559",0.05%,0.03%
01,Alabama,186,Coptic Orthodox Church,2,90,0.00%,0.00%
01,Alabama,185,Cumberland Presbyterian,51,"5,865",0.18%,0.12%
01,Alabama,187,Cumberland Presbyterian Church in America,51,"7,334",0.23%,0.15%
01,Alabama,FG7,Diocese of the Holy Cross,1,,,
01,Alabama,FFW,ECO: A Covenant Order of Presbyterians,4,,,
01,Alabama,193,Episcopal Church,123,"41,339",1.29%,0.82%
01,Alabama,204,Ethiopian Orthodox,1,50,0.00%,0.00%
01,Alabama,198,"Evangelical Association of Reformed, and Congregational Christian Churches",1,,,
01,Alabama,201,Evangelical Covenant Church,3,306,0.01%,0.01%
01,Alabama,203,Evangelical Free Church of America,3,,,
01,Alabama,207,Evangelical Lutheran Church in America,16,"2,489",0.08%,0.05%
01,Alabama,215,Evangelical Methodist Church,1,,,
01,Alabama,216,Evangelical Presbyterian Church,10,,,
01,Alabama,FGP,Every Nation,1,,,
01,Alabama,210,Federation of Reformed Churches,1,,,
01,Alabama,263,"Foursquare Gospel, International Church of the",8,900,0.03%,0.02%
01,Alabama,221,Free Methodist Church--USA,2,50,0.00%,0.00%
01,Alabama,222,Free Presbyterian Church of North America,1,,,
01,Alabama,391,Friends General Conference,2,55,0.00%,0.00%
01,Alabama,232,Full Gospel Baptist Church Fellowship,23,"3,100",0.10%,0.06%
01,Alabama,FFR,Full Gospel Christian Assemblies International,26,"10,740",0.34%,0.21%
01,Alabama,231,General Association of General Baptists,1,150,0.00%,0.00%
01,Alabama,FGM,Grace Communion International,4,,,
01,Alabama,243,Grace Gospel Fellowship,6,,,
01,Alabama,246,Greek Orthodox Archdiocese of America,5,"1,922",0.06%,0.04%
01,Alabama,FGD,Higher Ground Always Abounding Assemblies,5,,,
01,Alabama,895,Hindu Temples,7,"8,587",0.27%,0.17%
01,Alabama,896,Hindu Yoga and Meditation,3,392,0.01%,0.01%
01,Alabama,264,International Churches of Christ,3,192,0.01%,0.00%
01,Alabama,FE9,International Communion of the Charismatic Episcopal Church,5,,,
01,Alabama,262,International Council of Community Churches,3,,,
01,Alabama,256,International Fellowship of Bible Churches,1,,,
01,Alabama,268,Jain,1,,,
01,Alabama,272,Jehovah's Witnesses,157,"34,534",1.08%,0.69%
01,Alabama,283,Lutheran Church--Missouri Synod,55,"7,725",0.24%,0.15%
01,Alabama,255,Lutheran Congregations in Mission for Christ,3,564,0.02%,0.01%
01,Alabama,890,Mahayana Buddhist,4,505,0.02%,0.01%
01,Alabama,290,Metropolitan Community Churches,1,75,0.00%,0.00%
01,Alabama,291,Missionary Church,1,0,0.00%,0.00%
01,Alabama,267,Muslim Estimate,37,"23,550",0.74%,0.47%
01,Alabama,175,National Association of Congregational Christian Churches,2,82,0.00%,0.00%
01,Alabama,223,National Association of Free Will Baptists,101,"10,053",0.31%,0.20%
01,Alabama,301,"National Baptist Convention of America, Inc.",15,"12,670",0.40%,0.25%
01,Alabama,300,"National Baptist Convention, USA, Inc.",247,"121,168",3.79%,2.41%
01,Alabama,302,"National Missionary Baptist Convention, Inc.",378,"101,998",3.19%,2.03%
01,Alabama,304,"National Primitive Baptist Convention, USA, Inc.",27,"5,578",0.17%,0.11%
01,Alabama,309,New Apostolic Church USA,2,,,
01,Alabama,500,Non-denominational Christian Churches,"1,301","514,980",16.12%,10.25%
01,Alabama,314,North American Lutheran Church,2,,,
01,Alabama,331,Orthodox Church in America,2,309,0.01%,0.01%
01,Alabama,276,Orthodox Judaism,1,375,0.01%,0.01%
01,Alabama,335,Orthodox Presbyterian Church,1,,,
01,Alabama,400,Patriarchal Parishes of the Russian Orthodox Church in the USA,1,80,0.00%,0.00%
01,Alabama,D71,Pentecostal Assemblies of the World,2,"1,200",0.04%,0.02%
01,Alabama,339,Pentecostal Church of God,6,,,
01,Alabama,355,Presbyterian Church (U.S.A.),118,"17,001",0.53%,0.34%
01,Alabama,356,Presbyterian Church in America,109,"27,751",0.87%,0.55%
01,Alabama,361,Primitive Baptists Associations,66,"7,110",0.22%,0.14%
01,Alabama,364,"Progressive National Baptist Convention, Inc.",5,"5,005",0.16%,0.10%
01,Alabama,365,Progressive Primitive Baptists,2,,,
01,Alabama,271,Reform Judaism,5,"3,133",0.10%,0.06%
01,Alabama,375,Reformed Episcopal Church,1,,,
01,Alabama,383,Reformed Presbyterian Church of North America,2,41,0.00%,0.00%
01,Alabama,382,"Reformed Presbyterian Church, Hanover Presbytery",1,,,
01,Alabama,401,Russian Orthodox Church Outside of Russia,5,114,0.00%,0.00%
01,Alabama,403,Salvation Army,11,"1,324",0.04%,0.03%
01,Alabama,410,Serbian Orthodox Church in North America,1,150,0.00%,0.00%
01,Alabama,415,"Seventh Day Baptist General Conference, USA and Canada",2,72,0.00%,0.00%
01,Alabama,413,Seventh-day Adventist Church,121,"25,148",0.79%,0.50%
01,Alabama,419,Southern Baptist Convention,"3,265","1,255,396",39.29%,24.99%
01,Alabama,421,Southern Methodist Church,3,,,
01,Alabama,F54,The local churches,2,,,
01,Alabama,891,Theravada Buddhist,6,"4,223",0.13%,0.08%
01,Alabama,432,Unaffiliated Amish-Mennonite (Conservative),1,27,0.00%,0.00%
01,Alabama,FER,Unification Church,1,,,
01,Alabama,437,Union of Messianic Jewish Congregations,1,,,
01,Alabama,435,Unitarian Universalist Association of Congregations,9,"1,166",0.04%,0.02%
01,Alabama,443,United Church of Christ,17,"1,537",0.05%,0.03%
01,Alabama,FGN,United Church of God,4,,,
01,Alabama,FG5,United Episcopal Church of North America,2,,,
01,Alabama,F58,United House of Prayer,1,100,0.00%,0.00%
01,Alabama,449,United Methodist Church,"1,091","250,679",7.84%,4.99%
01,Alabama,454,United Pentecostal Church International,102,,,
01,Alabama,124,"Unity Churches, Association of",8,,,
01,Alabama,892,Vajarayana Buddhist,1,80,0.00%,0.00%
01,Alabama,FFQ,Vanguard Presbytery,1,,,
01,Alabama,463,Vineyard USA,7,"1,296",0.04%,0.03%
01,Alabama,467,Wesleyan Church,12,"1,965",0.06%,0.04%
01,Alabama,FJ5,Westminster Evangelical Presbyterian Church,1,,,
01,Alabama,469,Wisconsin Evangelical Lutheran Synod,4,503,0.02%,0.01%
02,Alaska,003,African Methodist Episcopal Church,1,30,0.01%,0.00%
02,Alaska,005,African Methodist Episcopal Zion Church,2,250,0.10%,0.03%
02,Alaska,019,American Baptist Churches in the USA,13,959,0.37%,0.13%
02,Alaska,416,American Sikh Council,1,,,
02,Alaska,033,Anglican Church in North America,2,,,
02,Alaska,034,"Antiochian Orthodox Christian Archdiocese of North America, The",3,473,0.18%,0.06%
02,Alaska,053,Assemblies of God,90,"12,099",4.69%,1.65%
02,Alaska,056,Baha'i Faith USA,12,690,0.27%,0.09%
02,Alaska,FDT,Bethel Fellowship Mennonite Churches,1,47,0.02%,0.01%
02,Alaska,FHW,Biblical Mennonite Alliance,1,50,0.02%,0.01%
02,Alaska,084,Calvary Chapel Fellowship Churches,2,,,
02,Alaska,081,Catholic Church,89,"40,280",15.61%,5.49%
02,Alaska,FGS,Chabad Judaism,2,,,
02,Alaska,244,Charis Fellowship,5,,,
02,Alaska,089,Christian and Missionary Alliance,12,"2,716",1.05%,0.37%
02,Alaska,353,Christian Brethren (Open Plymouth Brethren),6,,,
02,Alaska,093,Christian Church (Disciples of Christ),1,0,0.00%,0.00%
02,Alaska,097,Christian Churches and Churches of Christ,10,"3,615",1.40%,0.49%
02,Alaska,101,Christian Methodist Episcopal Church,3,599,0.23%,0.08%
02,Alaska,105,Christian Reformed Church in North America,4,177,0.07%,0.02%
02,Alaska,143,"Church of Christ, Mennonite",2,171,0.07%,0.02%
02,Alaska,111,"Church of Christ, Scientist",2,,,
02,Alaska,F53,Church of God,2,,,
02,Alaska,123,"Church of God (Anderson, Indiana)",6,840,0.33%,0.11%
02,Alaska,127,"Church of God (Cleveland, Tennessee)",20,"3,171",1.23%,0.43%
02,Alaska,141,Church of God in Christ,5,"2,030",0.79%,0.28%
02,Alaska,145,Church of God of Prophecy,2,,,
02,Alaska,151,Church of Jesus Christ of Latter-day Saints,81,"33,495",12.98%,4.57%
02,Alaska,164,Church of the Lutheran Confession,3,,,
02,Alaska,165,Church of the Nazarene,28,"4,256",1.65%,0.58%
02,Alaska,167,Churches of Christ,27,"2,371",0.92%,0.32%
02,Alaska,172,Communion of Reformed Evangelical Churches,2,,,
02,Alaska,173,Community of Christ,1,,,
02,Alaska,057,Converge Worldwide / Baptist General Conference,3,,,
02,Alaska,FFW,ECO: A Covenant Order of Presbyterians,6,,,
02,Alaska,193,Episcopal Church,46,"6,072",2.35%,0.83%
02,Alaska,201,Evangelical Covenant Church,21,"1,079",0.42%,0.15%
02,Alaska,328,Evangelical Friends Church International,13,407,0.16%,0.06%
02,Alaska,207,Evangelical Lutheran Church in America,31,"7,906",3.06%,1.08%
02,Alaska,FFE,Evangelical Lutheran Diocese of North America,2,,,
02,Alaska,216,Evangelical Presbyterian Church,1,,,
02,Alaska,FGL,Fellowship of Christian Assemblies,1,,,
02,Alaska,263,"Foursquare Gospel, International Church of the",3,128,0.05%,0.02%
02,Alaska,221,Free Methodist Church--USA,1,54,0.02%,0.01%
02,Alaska,391,Friends General Conference,6,148,0.06%,0.02%
02,Alaska,242,Georgian Orthodox Parishes in the United States,1,70,0.03%,0.01%
02,Alaska,FGM,Grace Communion International,2,,,
02,Alaska,246,Greek Orthodox Archdiocese of America,1,225,0.09%,0.03%
02,Alaska,895,Hindu Temples,1,160,0.06%,0.02%
02,Alaska,896,Hindu Yoga and Meditation,2,309,0.12%,0.04%
02,Alaska,264,International Churches of Christ,2,225,0.09%,0.03%
02,Alaska,256,International Fellowship of Bible Churches,1,,,
02,Alaska,272,Jehovah's Witnesses,31,"6,096",2.36%,0.83%
02,Alaska,FFJ,Laestadian Lutheran Church,1,,,
02,Alaska,283,Lutheran Church--Missouri Synod,13,"2,235",0.87%,0.30%
02,Alaska,255,Lutheran Congregations in Mission for Christ,2,180,0.07%,0.02%
02,Alaska,890,Mahayana Buddhist,4,613,0.24%,0.08%
02,Alaska,288,Mennonite Church USA,1,19,0.01%,0.00%
02,Alaska,292,Moravian Church in America--Alaska Province,24,,,
02,Alaska,267,Muslim Estimate,2,400,0.16%,0.05%
02,Alaska,175,National Association of Congregational Christian Churches,1,131,0.05%,0.02%
02,Alaska,223,National Association of Free Will Baptists,1,31,0.01%,0.00%
02,Alaska,300,"National Baptist Convention, USA, Inc.",1,300,0.12%,0.04%
02,Alaska,302,"National Missionary Baptist Convention, Inc.",9,"2,506",0.97%,0.34%
02,Alaska,500,Non-denominational Christian Churches,194,"73,930",28.65%,10.08%
02,Alaska,FFH,Old Apostolic Lutheran Church of America,1,,,
02,Alaska,FHS,Old Brethren (California),0,2,0.00%,0.00%
02,Alaska,329,Open Bible Churches,1,0,0.00%,0.00%
02,Alaska,331,Orthodox Church in America,85,"10,185",3.95%,1.39%
02,Alaska,335,Orthodox Presbyterian Church,1,,,
02,Alaska,339,Pentecostal Church of God,4,,,
02,Alaska,355,Presbyterian Church (U.S.A.),29,"2,117",0.82%,0.29%
02,Alaska,356,Presbyterian Church in America,3,256,0.10%,0.03%
02,Alaska,271,Reform Judaism,1,464,0.18%,0.06%
02,Alaska,403,Salvation Army,17,852,0.33%,0.12%
02,Alaska,410,Serbian Orthodox Church in North America,1,40,0.02%,0.01%
02,Alaska,413,Seventh-day Adventist Church,32,"4,637",1.80%,0.63%
02,Alaska,419,Southern Baptist Convention,129,"15,849",6.14%,2.16%
02,Alaska,F52,Syro-Russian Orthodox Catholic Church,1,,,
02,Alaska,F54,The local churches,1,,,
02,Alaska,891,Theravada Buddhist,6,"4,569",1.77%,0.62%
02,Alaska,FHF,Unaffiliated Conservative Mennonite,2,81,0.03%,0.01%
02,Alaska,FER,Unification Church,1,,,
02,Alaska,435,Unitarian Universalist Association of Congregations,4,498,0.19%,0.07%
02,Alaska,443,United Church of Christ,3,243,0.09%,0.03%
02,Alaska,FGN,United Church of God,2,,,
02,Alaska,449,United Methodist Church,30,"4,700",1.82%,0.64%
02,Alaska,454,United Pentecostal Church International,24,,,
02,Alaska,124,"Unity Churches, Association of",1,,,
02,Alaska,892,Vajarayana Buddhist,2,100,0.04%,0.01%
02,Alaska,179,Venture Church Network,1,,,
02,Alaska,463,Vineyard USA,1,154,0.06%,0.02%
02,Alaska,FJ3,Weaverland Mennonite Conference,0,3,0.00%,0.00%
02,Alaska,467,Wesleyan Church,3,439,0.17%,0.06%
02,Alaska,469,Wisconsin Evangelical Lutheran Synod,9,"1,288",0.50%,0.18%
04,Arizona,003,African Methodist Episcopal Church,10,"2,340",0.07%,0.03%
04,Arizona,005,African Methodist Episcopal Zion Church,2,300,0.01%,0.00%
04,Arizona,284,American Association of Lutheran Churches,1,,,
04,Arizona,017,American Baptist Association,6,"1,074",0.03%,0.02%
04,Arizona,019,American Baptist Churches in the USA,22,"4,336",0.14%,0.06%
04,Arizona,416,American Sikh Council,6,,,
04,Arizona,FG4,Anglican Church in America,1,,,
04,Arizona,033,Anglican Church in North America,12,,,
04,Arizona,FG3,Anglican Province of America,1,,,
04,Arizona,FG2,Anglican Province of Christ the King,4,,,
04,Arizona,034,"Antiochian Orthodox Christian Archdiocese of North America, The",4,"1,572",0.05%,0.02%
04,Arizona,FF7,Apostolic Christian Church (Nazarene) - East Conference,1,100,0.00%,0.00%
04,Arizona,040,Apostolic Christian Church of America,3,314,0.01%,0.00%
04,Arizona,FEX,Apostolic Christian Faith,1,23,0.00%,0.00%
04,Arizona,042,"Apostolic Faith Mission of Portland, OR",1,,,
04,Arizona,045,Apostolic Lutheran Church of America,1,,,
04,Arizona,050,Armenian Church of North America (Catholicosate of Etchmiadzin),1,"2,500",0.08%,0.03%
04,Arizona,053,Assemblies of God,282,"70,364",2.23%,0.98%
04,Arizona,220,Association of Free Lutheran Congregations,5,278,0.01%,0.00%
04,Arizona,058,Association of Messianic Congregations,1,,,
04,Arizona,047,Association of Reformed Baptist Churches of America,1,,,
04,Arizona,056,Baha'i Faith USA,30,"8,234",0.26%,0.12%
04,Arizona,059,Baptist Missionary Association of America,2,,,
04,Arizona,217,Bible Holiness Church,2,,,
04,Arizona,071,"Brethren Church, The (Ashland, Ohio)",3,,,
04,Arizona,078,"Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia",1,80,0.00%,0.00%
04,Arizona,084,Calvary Chapel Fellowship Churches,16,,,
04,Arizona,081,Catholic Church,268,"1,522,410",48.31%,21.29%
04,Arizona,FGS,Chabad Judaism,23,,,
04,Arizona,244,Charis Fellowship,1,,,
04,Arizona,087,Christadelphian,2,,,
04,Arizona,089,Christian and Missionary Alliance,23,"2,239",0.07%,0.03%
04,Arizona,353,Christian Brethren (Open Plymouth Brethren),7,,,
04,Arizona,093,Christian Church (Disciples of Christ),27,"3,063",0.10%,0.04%
04,Arizona,097,Christian Churches and Churches of Christ,54,"35,275",1.12%,0.49%
04,Arizona,101,Christian Methodist Episcopal Church,5,676,0.02%,0.01%
04,Arizona,105,Christian Reformed Church in North America,13,557,0.02%,0.01%
04,Arizona,F13,Church of Christ,1,,,
04,Arizona,143,"Church of Christ, Mennonite",6,410,0.01%,0.01%
04,Arizona,111,"Church of Christ, Scientist",7,,,
04,Arizona,F53,Church of God,1,,,
04,Arizona,123,"Church of God (Anderson, Indiana)",21,"9,736",0.31%,0.14%
04,Arizona,127,"Church of God (Cleveland, Tennessee)",79,"3,882",0.12%,0.05%
04,Arizona,133,Church of God (Seventh Day),3,,,
04,Arizona,121,Church of God General Conference,1,38,0.00%,0.00%
04,Arizona,141,Church of God in Christ,30,"5,850",0.19%,0.08%
04,Arizona,145,Church of God of Prophecy,28,,,
04,Arizona,120,"Church of God of the Apostolic Faith, Inc.",2,,,
04,Arizona,151,Church of Jesus Christ of Latter-day Saints,932,"436,521",13.85%,6.10%
04,Arizona,149,"Church of Jesus Christ, The (Bickertonites)",3,,,
04,Arizona,157,Church of the Brethren,2,182,0.01%,0.00%
04,Arizona,FFK,Church of the Genuine Orthodox Christians,1,40,0.00%,0.00%
04,Arizona,A47,Church of the Living God (Christian Workers for Fellowship),1,,,
04,Arizona,D59,Church of the Living God: Pillar and Ground of the Truth,1,,,
04,Arizona,163,Church of the Lutheran Brethren of America,3,,,
04,Arizona,164,Church of the Lutheran Confession,1,,,
04,Arizona,165,Church of the Nazarene,113,"18,258",0.58%,0.26%
04,Arizona,438,Church of the United Brethren in Christ USA,1,125,0.00%,0.00%
04,Arizona,167,Churches of Christ,126,"11,920",0.38%,0.17%
04,Arizona,168,Churches of Christ in Christian Union,3,,,
04,Arizona,171,"Churches of God, General Conference",1,107,0.00%,0.00%
04,Arizona,173,Community of Christ,8,,,
04,Arizona,181,Conservative Congregational Christian Conference,1,104,0.00%,0.00%
04,Arizona,270,Conservative Judaism,4,"3,399",0.11%,0.05%
04,Arizona,183,Conservative Mennonite Conference,3,101,0.00%,0.00%
04,Arizona,057,Converge Worldwide / Baptist General Conference,26,,,
04,Arizona,186,Coptic Orthodox Church,6,"1,368",0.04%,0.02%
04,Arizona,185,Cumberland Presbyterian,1,24,0.00%,0.00%
04,Arizona,FFW,ECO: A Covenant Order of Presbyterians,11,,,
04,Arizona,FFP,Ecumenical Catholic Communion,3,221,0.01%,0.00%
04,Arizona,190,Elim Fellowship,2,,,
04,Arizona,193,Episcopal Church,64,"20,292",0.64%,0.28%
04,Arizona,202,Eritrean Orthodox,2,750,0.02%,0.01%
04,Arizona,204,Ethiopian Orthodox,3,"1,600",0.05%,0.02%
04,Arizona,201,Evangelical Covenant Church,9,"1,027",0.03%,0.01%
04,Arizona,203,Evangelical Free Church of America,32,,,
04,Arizona,328,Evangelical Friends Church International,9,420,0.01%,0.01%
04,Arizona,207,Evangelical Lutheran Church in America,77,"30,347",0.96%,0.42%
04,Arizona,FFE,Evangelical Lutheran Diocese of North America,1,,,
04,Arizona,209,Evangelical Lutheran Synod,3,210,0.01%,0.00%
04,Arizona,215,Evangelical Methodist Church,5,,,
04,Arizona,216,Evangelical Presbyterian Church,4,,,
04,Arizona,FGP,Every Nation,2,,,
04,Arizona,FGL,Fellowship of Christian Assemblies,1,,,
04,Arizona,263,"Foursquare Gospel, International Church of the",31,"4,350",0.14%,0.06%
04,Arizona,221,Free Methodist Church--USA,8,724,0.02%,0.01%
04,Arizona,222,Free Presbyterian Church of North America,1,,,
04,Arizona,391,Friends General Conference,4,272,0.01%,0.00%
04,Arizona,232,Full Gospel Baptist Church Fellowship,23,"4,032",0.13%,0.06%
04,Arizona,FFR,Full Gospel Christian Assemblies International,12,"4,130",0.13%,0.06%
04,Arizona,388,General Association of Regular Baptist Churches,12,,,
04,Arizona,233,General Church of the New Jerusalem,2,,,
04,Arizona,FGM,Grace Communion International,1,,,
04,Arizona,243,Grace Gospel Fellowship,2,,,
04,Arizona,246,Greek Orthodox Archdiocese of America,9,"5,704",0.18%,0.08%
04,Arizona,895,Hindu Temples,8,"20,462",0.65%,0.29%
04,Arizona,896,Hindu Yoga and Meditation,33,"7,878",0.25%,0.11%
04,Arizona,FGR,Independent Judaism,3,0,0.00%,0.00%
04,Arizona,264,International Churches of Christ,3,898,0.03%,0.01%
04,Arizona,262,International Council of Community Churches,1,,,
04,Arizona,265,International Pentecostal Church of Christ,1,,,
04,Arizona,268,Jain,1,,,
04,Arizona,272,Jehovah's Witnesses,306,"86,138",2.73%,1.20%
04,Arizona,FFJ,Laestadian Lutheran Church,4,,,
04,Arizona,283,Lutheran Church--Missouri Synod,72,"21,998",0.70%,0.31%
04,Arizona,255,Lutheran Congregations in Mission for Christ,22,"8,008",0.25%,0.11%
04,Arizona,330,Macedonian Orthodox Church: American Diocese,1,275,0.01%,0.00%
04,Arizona,890,Mahayana Buddhist,14,"6,196",0.20%,0.09%
04,Arizona,334,Malankara Archdiocese of the Syrian Orthodox Church in North America,1,90,0.00%,0.00%
04,Arizona,F28,Malankara Mar Thoma Church,1,34,0.00%,0.00%
04,Arizona,333,Malankara Orthodox Syrian Church,1,95,0.00%,0.00%
04,Arizona,288,Mennonite Church USA,6,782,0.02%,0.01%
04,Arizona,290,Metropolitan Community Churches,1,55,0.00%,0.00%
04,Arizona,FD1,Midwest Mennonite Fellowship,1,59,0.00%,0.00%
04,Arizona,267,Muslim Estimate,35,"109,765",3.48%,1.53%
04,Arizona,175,National Association of Congregational Christian Churches,2,354,0.01%,0.00%
04,Arizona,223,National Association of Free Will Baptists,11,254,0.01%,0.00%
04,Arizona,301,"National Baptist Convention of America, Inc.",2,810,0.03%,0.01%
04,Arizona,300,"National Baptist Convention, USA, Inc.",9,"3,080",0.10%,0.04%
04,Arizona,302,"National Missionary Baptist Convention, Inc.",33,"8,102",0.26%,0.11%
04,Arizona,303,National Spiritualist Association of Churches,2,,,
04,Arizona,F31,Nationwide Fellowship Mennonite Churches,1,42,0.00%,0.00%
04,Arizona,309,New Apostolic Church USA,2,,,
04,Arizona,308,New Testament Association of Independent Baptist Church,3,,,
04,Arizona,500,Non-denominational Christian Churches,879,"402,842",12.78%,5.63%
04,Arizona,314,North American Lutheran Church,2,,,
04,Arizona,329,Open Bible Churches,2,784,0.02%,0.01%
04,Arizona,331,Orthodox Church in America,4,872,0.03%,0.01%
04,Arizona,276,Orthodox Judaism,10,"2,650",0.08%,0.04%
04,Arizona,FFN,Orthodox Old Roman Catholic Communion,1,,,
04,Arizona,335,Orthodox Presbyterian Church,7,,,
04,Arizona,339,Pentecostal Church of God,42,,,
04,Arizona,355,Presbyterian Church (U.S.A.),79,"14,357",0.46%,0.20%
04,Arizona,356,Presbyterian Church in America,18,"1,790",0.06%,0.03%
04,Arizona,361,Primitive Baptists Associations,2,136,0.00%,0.00%
04,Arizona,364,"Progressive National Baptist Convention, Inc.",1,300,0.01%,0.00%
04,Arizona,271,Reform Judaism,15,"11,166",0.35%,0.16%
04,Arizona,F41,Reformed Baptist Network,2,,,
04,Arizona,371,Reformed Church in America,7,"1,324",0.04%,0.02%
04,Arizona,375,Reformed Episcopal Church,1,,,
04,Arizona,383,Reformed Presbyterian Church of North America,1,47,0.00%,0.00%
04,Arizona,401,Russian Orthodox Church Outside of Russia,1,50,0.00%,0.00%
04,Arizona,403,Salvation Army,23,"3,050",0.10%,0.04%
04,Arizona,410,Serbian Orthodox Church in North America,3,"5,300",0.17%,0.07%
04,Arizona,415,"Seventh Day Baptist General Conference, USA and Canada",1,5,0.00%,0.00%
04,Arizona,413,Seventh-day Adventist Church,91,"23,360",0.74%,0.33%
04,Arizona,419,Southern Baptist Convention,452,"98,610",3.13%,1.38%
04,Arizona,F51,Sovereign Grace Churches,3,,,
04,Arizona,423,Syriac Orthodox Church of Antioch,1,190,0.01%,0.00%
04,Arizona,F54,The local churches,2,,,
04,Arizona,891,Theravada Buddhist,8,"4,287",0.14%,0.06%
04,Arizona,432,Unaffiliated Amish-Mennonite (Conservative),1,12,0.00%,0.00%
04,Arizona,FD6,Unaffiliated Conservative Mennonite (Grandview fellowship),1,34,0.00%,0.00%
04,Arizona,FER,Unification Church,1,,,
04,Arizona,435,Unitarian Universalist Association of Congregations,13,"2,588",0.08%,0.04%
04,Arizona,443,United Church of Christ,34,"5,197",0.16%,0.07%
04,Arizona,FGN,United Church of God,6,,,
